CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2020;Cartago;Bachillerato: Arquitectura Técnica;Bachillerato;Abandono Voluntario;Hombres;8;5;1;0;;;31/05/2021
2020;Cartago;Bachillerato: Arquitectura Técnica;Bachillerato;Abandono Voluntario;Mujeres;7;2;0;0;;;31/05/2021
2020;Cartago;Bachillerato: Arquitectura Técnica;Bachillerato;Graduado;Hombres;10;0;0;0;6.50;71.64;31/05/2021
2020;Cartago;Bachillerato: Arquitectura Técnica;Bachillerato;Graduado;Mujeres;6;0;0;0;6.75;72.08;31/05/2021
2020;Cartago;Bachillerato: Ingeniería Civil;Bachillerato;Abandono Voluntario;Hombres;3;13;1;0;;;31/05/2021
2020;Cartago;Bachillerato: Ingeniería Civil;Bachillerato;Abandono Voluntario;Mujeres;1;3;0;0;;;31/05/2021
2020;Cartago;Bachillerato: Ingeniería Civil;Bachillerato;Cambio de estudios sin simultaneidad;Mujeres;3;1;0;0;;;31/05/2021
2020;Cartago;Bachillerato: Ingeniería Civil;Bachillerato;Graduado;Hombres;7;0;0;0;6.00;83.28;31/05/2021
2020;Cartago;Bachillerato: Ingeniería Civil;Bachillerato;Graduado;Mujeres;2;0;0;0;7.00;61.74;31/05/2021
2020;Cartago;Bachillerato: Ingeniería de Organización Industrial;Bachillerato;Abandono Voluntario;Hombres;4;11;7;0;;;31/05/2021
2020;Cartago;Bachillerato: Ingeniería de Organización Industrial;Bachillerato;Abandono Voluntario;Mujeres;4;1;1;0;;;31/05/2021
2020;Cartago;Bachillerato: Ingeniería de Organización Industrial;Bachillerato;Cambio de estudios sin simultaneidad;Hombres;3;1;1;0;;;31/05/2021
2019;Cartago;Bachillerato: Ingeniería de Organización Industrial;Bachillerato;Graduado;Hombres;17;0;0;0;5.00;82.87;31/05/2021
2019;Cartago;Bachillerato: Ingeniería de Organización Industrial;Bachillerato;Graduado;Mujeres;3;0;0;0;4.50;96.30;31/05/2021
2019;Cartago;Bachillerato: Ingeniería de Organización Industrial;Bachillerato;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;31/05/2021
2019;Cartago;Bachillerato: Ingeniería Mecatrónica;Bachillerato;Abandono Voluntario;Hombres;0;13;5;0;;;31/05/2021
2019;Cartago;Bachillerato: Ingeniería Mecatrónica;Bachillerato;Cambio de estudios sin simultaneidad;Hombres;0;5;5;0;;;31/05/2021
2019;Cartago;Bachillerato: Ingeniería Mecatrónica;Bachillerato;Graduado;Hombres;15;0;0;0;5.07;89.78;31/05/2021
